,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,Afghanistan, , , , , , , , , , , , , , , , , , ,46, , , , ,50, , , , ,45, , , , ,37, , , , ,34, , , , ,29, , 
1,Albania, , , , , , , , , , , , , ,7, , , , ,11, , , , ,12, , , , ,13, , , , ,11, , , , ,12, , , , , , , 
2,Algeria, , , , , , , , , , , , , , ,9, , , , ,5, , , , ,3, , , , ,3, , , , ,3, , , , ,4, , , , , , 
3,Angola, , , , , , , , , , , ,29, , , , ,31, , , , ,31, , , , ,31, , , , ,30, , , , ,, , , , , , , , , 
4,Argentina, , , , , , , , , , , , , , , ,15, , , , ,14, , , , ,19, , , , ,16, , , , ,16, , , , ,16, , , , , 
5,Armenia, , , , , , , , , , , ,16, , , , ,24, , , , ,17, , , , ,10, , , , ,7, , , , ,5, , , , , , , , , 
6,Azerbaijan, , , , , , , , , , , , , , , , , , ,18, , , , ,15, , , , ,13, , , , ,15, , , , ,16, , , , ,15, , 
7,Bangladesh, , , , , , , , , , , , , , , , , ,75, , , , ,72, , , , ,68, , , , ,63, , , , ,59, , , , ,51, , , 
8,Barbados, , , , , , , ,14, , , , ,11, , , , ,8, , , , ,13, , , , ,21, , , , ,29, , , , , , , , , , , , , 
9,Belarus, , , , , , , , , , , , , , ,8, , , , ,10, , , , ,6, , , , ,4, , , , ,5, , , , ,5, , , , , , 
10,Belize, , , , , , , , , , , ,23, , , , ,28, , , , ,28, , , , ,31, , , , ,28, , , , ,34, , , , , , , , , 
11,Benin, , , , , , , , , , , , , , , , , ,35, , , , ,35, , , , ,35, , , , ,34, , , , ,30, , , , ,28, , , 
12,Bhutan, , , , , ,29, , , , ,35, , , , ,36, , , , ,33, , , , ,28, , , , ,26, , , , , , , , , , , , , , , 
13,Bolivia (Plurinational State of), , , , , , , , , , , ,24, , , , ,24, , , , ,23, , , , ,22, , , , ,20, , , , ,20, , , , , , , , , 
